,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2002-07-01 00:00:00+05:30,17.291283178226298,17.674555712257046,17.21588461506152,17.586591720581055,630442,0.0,0.0
1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2002-07-02 00:00:00+05:30,17.58659846158153,17.76252771078727,17.423235844123337,17.574031829833984,1007265,0.0,0.0
2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2002-07-03 00:00:00+05:30,17.44836489877316,17.58031090503485,17.21588706120108,17.316417694091797,178065,0.0,0.0
3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2002-07-04 00:00:00+05:30,17.297565645101823,17.42322831300018,17.259865766154817,17.310131072998047,199282,0.0,0.0
4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2002-07-05 00:00:00+05:30,17.259866656738712,17.57402514032389,17.19075260527524,17.32269859313965,138577,0.0,0.0
5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2002-07-08 00:00:00+05:30,17.592878298183674,17.762524197965465,17.008543220103988,17.454648971557617,216457,0.0,0.0
6,6.0,6.0,6.0,6.0,6.0,6.0,6.0,2002-07-09 00:00:00+05:30,17.592872518851546,17.762518362903972,16.933140278762348,17.090219497680664,1158427,0.0,0.0
7,7.0,7.0,7.0,7.0,7.0,7.0,7.0,2002-07-10 00:00:00+05:30,17.165617514009643,17.165617514009643,16.776061707175405,16.89544105529785,384892,0.0,0.0
8,8.0,8.0,8.0,8.0,8.0,8.0,8.0,2002-07-11 00:00:00+05:30,16.882880423597904,16.920579112743678,16.56872188440376,16.644119262695312,1189395,0.0,0.0
9,9.0,9.0,9.0,9.0,9.0,9.0,9.0,2002-07-12 00:00:00+05:30,16.63155161864492,16.920578080245313,16.593852931799532,16.65668487548828,1100752,0.0,0.0
10,10.0,10.0,10.0,10.0,10.0,10.0,10.0,2002-07-15 00:00:00+05:30,16.58756306636793,16.669244920429136,16.44305049185248,16.581279754638672,758595,0.0,0.0
11,11.0,11.0,11.0,11.0,11.0,11.0,11.0,2002-07-16 00:00:00+05:30,16.757211188305355,16.757211188305355,16.430486124044606,16.499601364135742,573555,0.0,0.0
12,12.0,12.0,12.0,12.0,12.0,12.0,12.0,2002-07-17 00:00:00+05:30,16.505886705370337,16.56871864059192,16.39278946165539,16.474470138549805,147120,0.0,0.0
13,13.0,13.0,13.0,13.0,13.0,13.0,13.0,2002-07-18 00:00:00+05:30,16.34252303036032,16.669248112329534,16.34252303036032,16.512168884277344,112065,0.0,0.0
14,14.0,14.0,14.0,14.0,14.0,14.0,14.0,2002-07-19 00:00:00+05:30,16.41792189119874,16.50588708188331,16.21057733913146,16.292259216308594,249975,0.0,0.0
15,15.0,15.0,15.0,15.0,15.0,15.0,15.0,2002-07-22 00:00:00+05:30,16.336247225938443,16.336247225938443,15.87757595683096,16.003238677978516,341497,0.0,0.0
16,16.0,16.0,16.0,16.0,16.0,16.0,16.0,2002-07-23 00:00:00+05:30,15.915272697940312,16.669253725869332,15.588547505943083,15.676512718200684,457725,0.0,0.0
17,17.0,17.0,17.0,17.0,17.0,17.0,17.0,2002-07-24 00:00:00+05:30,15.582259554797496,15.582259554797496,15.41261489264367,15.50057888031006,298410,0.0,0.0
18,18.0,18.0,18.0,18.0,18.0,18.0,18.0,2002-07-25 00:00:00+05:30,15.915263091633737,15.915263091633737,14.9099560606624,15.111017227172852,1339500,0.0,0.0
19,19.0,19.0,19.0,19.0,19.0,19.0,19.0,2002-07-26 00:00:00+05:30,15.079608417203035,15.330934984472496,14.620937282133816,14.784299850463867,1189335,0.0,0.0
20,20.0,20.0,20.0,20.0,20.0,20.0,20.0,2002-07-29 00:00:00+05:30,15.249254832628363,15.249254832628363,14.49527390604134,14.62722110748291,451492,0.0,0.0
21,21.0,21.0,21.0,21.0,21.0,21.0,21.0,2002-07-30 00:00:00+05:30,14.250224303558896,14.82827577049332,14.250224303558896,14.426152229309082,899820,0.0,0.0
