,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains,Adj Close
0,0.0,0.0,0.0,0.0,0.0,0.0,2004-09-24 00:00:00+05:30,21.848148546720804,23.552304800117607,19.7507266196119,20.75574111938477,16930372.0,0.0,0.0,0.0,
1,1.0,1.0,1.0,1.0,1.0,1.0,2004-09-27 00:00:00+05:30,20.974224249604404,20.974224249604404,19.66333523400413,19.969209671020508,3621350.0,0.0,0.0,0.0,
2,2.0,2.0,2.0,2.0,2.0,2.0,2004-09-28 00:00:00+05:30,19.663334446742734,20.49356479013559,19.27006709105527,19.357460021972656,2290600.0,0.0,0.0,0.0,
3,3.0,3.0,3.0,3.0,3.0,3.0,2004-09-29 00:00:00+05:30,19.31376462389772,20.537260670916435,19.31376462389772,20.275083541870117,2686927.0,0.0,0.0,0.0,
4,4.0,4.0,4.0,4.0,4.0,4.0,2004-09-30 00:00:00+05:30,20.537260178415348,20.75574166967509,20.18769012577607,20.449867248535156,1597220.0,0.0,0.0,0.0,
5,5.0,5.0,5.0,5.0,5.0,5.0,2004-10-01 00:00:00+05:30,20.40616970127858,21.804451447444727,19.66333236735769,21.454879760742188,2591134.0,0.0,0.0,0.0,
6,6.0,6.0,6.0,6.0,6.0,6.0,2004-10-04 00:00:00+05:30,21.673363292018394,23.37751959262597,21.105311747443032,22.459897994995117,3864897.0,0.0,0.0,0.0,
7,7.0,7.0,7.0,7.0,7.0,7.0,2004-10-05 00:00:00+05:30,22.89686100615363,24.732104203669127,22.110326302210993,24.295141220092773,6188353.0,0.0,0.0,0.0,
8,8.0,8.0,8.0,8.0,8.0,8.0,2004-10-06 00:00:00+05:30,24.469925638973876,25.606028662602245,24.032962681135057,24.1203556060791,3616139.0,0.0,0.0,0.0,
9,9.0,9.0,9.0,9.0,9.0,9.0,2004-10-07 00:00:00+05:30,24.382535391393084,26.21778034921441,24.25144682302333,25.649728775024418,4313866.0,0.0,0.0,0.0,
10,10.0,10.0,10.0,10.0,10.0,10.0,2004-10-08 00:00:00+05:30,25.649728775024418,25.649728775024418,25.649728775024418,25.649728775024418,0.0,0.0,0.0,0.0,
11,11.0,11.0,11.0,11.0,11.0,11.0,2004-10-11 00:00:00+05:30,31.286550330551933,31.286550330551933,27.35388330575108,27.572364807128903,6491444.0,0.0,0.0,0.0,
12,12.0,12.0,12.0,12.0,12.0,12.0,2004-10-12 00:00:00+05:30,29.232822705135455,29.232822705135455,26.654740573114445,27.004310607910156,3081350.0,0.0,0.0,0.0,
13,13.0,13.0,13.0,13.0,13.0,13.0,2004-10-14 00:00:00+05:30,26.21777928352712,27.09170525964469,25.518639169385672,26.130386352539062,1560185.0,0.0,0.0,0.0,
