,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains,Adj Close
0,0.0,0.0,0.0,0.0,0.0,0.0,2023-05-29 00:00:00+05:30,1710.652432615056,1796.172607421875,1710.652432615056,1796.172607421875,155200.0,0.0,0.0,0.0,
1,1.0,1.0,1.0,1.0,1.0,1.0,2023-05-30 00:00:00+05:30,1885.9412841796875,1885.9412841796875,1885.9412841796875,1885.9412841796875,5600.0,0.0,0.0,0.0,
2,2.0,2.0,2.0,2.0,2.0,2.0,2023-05-31 00:00:00+05:30,1980.2083740234375,1980.2083740234375,1980.2083740234375,1980.2083740234375,22700.0,0.0,0.0,0.0,
3,3.0,3.0,3.0,3.0,3.0,3.0,2023-06-01 00:00:00+05:30,2079.173828125,2079.173828125,1960.415373345676,2079.173828125,54000.0,0.0,0.0,0.0,
4,4.0,4.0,4.0,4.0,4.0,4.0,2023-06-02 00:00:00+05:30,2147.2500652316085,2183.087646484375,2124.2580952593894,2183.087646484375,17600.0,0.0,0.0,0.0,
5,5.0,5.0,5.0,5.0,5.0,5.0,2023-06-05 00:00:00+05:30,2292.19921875,2292.19921875,2292.19921875,2292.19921875,2300.0,0.0,0.0,0.0,
6,6.0,6.0,6.0,6.0,6.0,6.0,2023-06-06 00:00:00+05:30,2406.8090742608397,2406.8090742608397,2177.5893483734176,2276.104736328125,16700.0,0.0,0.0,0.0,
7,7.0,7.0,7.0,7.0,7.0,7.0,2023-06-07 00:00:00+05:30,2162.294854084416,2362.174995890478,2162.294854084416,2264.1591796875,24000.0,0.0,0.0,0.0,
8,8.0,8.0,8.0,8.0,8.0,8.0,2023-06-08 00:00:00+05:30,2299.196881492382,2311.192691308864,2165.3437345789544,2255.462158203125,5500.0,0.0,0.0,0.0,
9,9.0,9.0,9.0,9.0,9.0,9.0,2023-06-09 00:00:00+05:30,2259.2108259232687,2368.2227953391807,2219.2247936060426,2367.22314453125,13800.0,0.0,0.0,0.0,
10,10.0,10.0,10.0,10.0,10.0,10.0,2023-06-12 00:00:00+05:30,2542.111906779789,2739.043108366741,2480.13355907222,2587.09619140625,13600.0,0.0,0.0,0.0,
11,11.0,11.0,11.0,11.0,11.0,11.0,2023-06-13 00:00:00+05:30,2638.828035254237,2669.067470074368,2399.1617708533645,2562.40478515625,8500.0,0.0,0.0,0.0,
12,12.0,12.0,12.0,12.0,12.0,12.0,2023-06-14 00:00:00+05:30,2689.010708929093,2689.010708929093,2384.167236272162,2472.236572265625,9800.0,0.0,0.0,0.0,
13,13.0,13.0,13.0,13.0,13.0,13.0,2023-06-15 00:00:00+05:30,2389.1652339772895,2518.120177568532,2349.179204956749,2499.4267578125,20800.0,0.0,0.0,0.0,
14,14.0,14.0,14.0,14.0,14.0,14.0,2023-06-16 00:00:00+05:30,2569.1025546155074,2779.0292225023777,2551.1088402252044,2605.48974609375,10000.0,0.0,0.0,0.0,
15,15.0,15.0,15.0,15.0,15.0,15.0,2023-06-19 00:00:00+05:30,2719.0502350861047,2898.987382996215,2719.0502350861047,2834.2099609375,14300.0,0.0,0.0,0.0,
16,16.0,16.0,16.0,16.0,16.0,16.0,2023-06-20 00:00:00+05:30,2893.989299557496,3020.9449614033692,2893.989299557496,3014.34716796875,8900.0,0.0,0.0,0.0,
17,17.0,17.0,17.0,17.0,17.0,17.0,2023-06-21 00:00:00+05:30,3113.9122585005143,3443.746992897223,3090.920289978681,3219.175537109375,13600.0,0.0,0.0,0.0,
18,18.0,18.0,18.0,18.0,18.0,18.0,2023-06-22 00:00:00+05:30,3275.855873113006,3408.7594063374413,3258.8618084676227,3284.702880859375,5900.0,0.0,0.0,0.0,
19,19.0,19.0,19.0,19.0,19.0,19.0,2023-06-23 00:00:00+05:30,3223.8738756581515,3228.872129728939,3069.2779748708335,3203.880859375,2600.0,0.0,0.0,0.0,
20,20.0,20.0,20.0,20.0,20.0,20.0,2023-06-26 00:00:00+05:30,3149.399765220301,3149.399765220301,2948.9697849229924,3000.8515625,7200.0,0.0,0.0,0.0,
